ori,ori9,crosswalk_agency_name,census_name,population,fips_state_county_code,state
TN04700,TN0470000,Knox County Sheriff's Office,Knox County,304331,47093,TN
NJNPD00,NJNPD0000,Newark Police,Newark City,303827,34013,NJ
NC04102,NC0410200,Greensboro Police Department,Greensboro City,303237,37081,NC
SC02604,SC0260400,Horry County Police Department,Horry County,302018,45051,SC
FL05500,FL0550000,St. Johns County Sheriff's Office,St Johns County,300923,12109,FL
MN06209,MN0620900,St. Paul Police Department,St Paul City,300368,27123,MN
NC03201,NC0320100,Durham Police Department,Durham City,295788,37063,NC
FL05800,FL0580000,Sarasota County Sheriff's Office,Sarasota County,294526,12115,FL
NB05501,NB0550100,Lincoln Police Dept,Lincoln City,293155,31109,NE
FL04900,FL0490000,Osceola County Sheriff's Office,Osceola County,292056,12097,FL
TX04306,TX0430600,Plano Police Department,Plano City,291140,48085,TX
NV00202,NV0020200,North Las Vegas Police Department,North Las Vegas City,290751,32003,NV
NJ00906,NJ0090600,Jersey City Police,Jersey City City,285117,34017,NJ
AK00101,AK0010100,Anchorage Police Department,Anchorage Municipality,285026,02020,AK
AZ00705,AZ0070500,Chandler Police Department,Chandler City,282419,04013,AZ
CA03702,CA0370200,Chula Vista Police Department,Chula Vista City,280748,06073,CA
MOSPD00,MOSPD0000,St. Louis (City) Police Dept,St Louis City,280108,29510,MO
AZ00711,AZ0071100,Gilbert Police Department,Gilbert Town,278495,04013,AZ
NV01601,NV0160100,Reno Police Department,Reno City,277792,32031,NV
TX22700,TX2270000,Travis County Sheriff's Office,Travis County,277111,48453,TX
NY01401,NY0140100,Buffalo Police Department,Buffalo City,275922,36029,NY
FL05200,FL0520000,Pinellas County Sheriff's Office,Pinellas County,275215,12103,FL
WI01301,WI0130100,Madison Police Department,Madison City,274234,55025,WI
FL01700,FL0170000,Escambia County Sheriff's Office,Escambia County,272796,12033,FL
SC04200,SC0420000,Spartanburg County Sheriff's Office,Spartanburg County,272522,45083,SC
IN00201,IN0020100,Fort Wayne Police,Fort Wayne City,269728,18003,IN
GA05800,GA0580000,Forsyth County Sheriff's Office,Forsyth County,267417,13117,GA
MI41141,MI4114100,Kent County Sheriff's Office,Kent County,267237,26081,MI
TX15202,TX1520200,Lubbock Police Department,Lubbock City,266960,48303,TX
SC04000,SC0400000,Richland County Sheriff's Office,Richland County,265947,45079,SC
OH04807,OH0480700,Toledo Police Department,Toledo City,264341,39095,OH
FL05214,FL0521400,St. Petersburg Police Department,St Petersburg City,262395,12103,FL
MI70170,MI7017000,Ottawa County Sheriff's Office,Ottawa County,260699,26139,MI
TX10800,TX1080000,Hidalgo County Sheriff's Office,Hidalgo County,260352,48215,TX
TX24001,TX2400100,Laredo Police Department,Laredo City,256542,48479,TX
TX05715,TX0571500,Irving Police Department,Irving City,255203,48113,TX
FL00500,FL0050000,Brevard County Sheriff's Office,Brevard County,254449,12009,FL
VA10300,VA1030000,Chesapeake Police Department,Chesapeake City,254051,51550,VA
AZ00713,AZ0071300,Glendale Police Department,Glendale City,253768,04013,AZ
NC03402,NC0340200,Winston-Salem Police Department,Winston-Salem City,252132,37067,NC
NY02700,NY0270000,Monroe County Sheriff's Office,Monroe County,251227,36055,NY
FL05602,FL0560200,Port St. Lucie Police Department,Port St Lucie City,245394,12111,FL
AZ00725,AZ0072500,Scottsdale Police Dept,Scottsdale City,243644,04013,AZ
OR00300,OR0030000,Clackamas County Sheriff's Office,Clackamas County,243311,41005,OR
GA02503,GA0250300,Savannah-Chatham Metropolitan Police Department,_Undetermined,241771,13051,GA
TX05711,TX0571100,Garland Police Department,Garland City,240051,48113,TX
OR03400,OR0340000,Washington County Sheriff's Office,Washington County,239309,41067,OR
WA00600,WA0060000,Clark County Sheriff's Office,Clark County,238098,53011,WA
AL00201,AL0020100,Mobile Police Department,Mobile City,237469,01097,AL
ID00101,ID0010100,Boise Police Department,Boise City,236949,16001,ID
GA03101,GA0310100,Clayton County Police Department,Clayton County,235714,13063,GA
WA01700,WA0170000,King County Sheriff's Office,King County,234871,53033,WA
SC03200,SC0320000,Lexington County Sheriff's Office,Lexington County,232613,45063,SC
VA00701,VA0070100,Arlington County Police Department,Arlington County,231844,51013,VA
VA11700,VA1170000,Norfolk Police Department,Norfolk City,230849,51710,VA
VA12200,VA1220000,Richmond Police Department,Richmond City,230789,51760,VA
WA03204,WA0320400,Spokane Police Department,Spokane City,230648,53063,WA
FL05900,FL0590000,Seminole County Sheriff's Office,Seminole County,230536,12117,FL
AZ01100,AZ0110000,Pinal County Sheriff's Office,Pinal County,229832,04021,AZ
FL03602,FL0360200,Cape Coral Police Department,Cape Coral City,228672,12071,FL
TX04304,TX0430400,Frisco Police Department,Frisco City,228527,48085,TX
AL04701,AL0470100,Huntsville Police Department,Huntsville City,224777,01089,AL
MD01300,MD0130000,Harford County Sheriff's Office,Harford County,223239,24025,MD
WA02703,WA0270300,Tacoma Police Department,Tacoma City,222828,53053,WA
LA05200,LA0520000,St. Tammany Parish Sheriff's Office,St Tammany Parish,221051,22103,LA
CA00105,CA0010500,Fremont Police Department,Fremont City,220775,06001,CA
CA03610,CA0361000,San Bernardino Police Department,San Bernardino City,219483,06071,CA
CO01800,CO0180000,Douglas County Sheriff's Office,Douglas County,219477,08035,CO
FL01304,FL0130400,Hialeah Police Department,Hialeah City,219251,12086,FL
LA01702,LA0170200,Baton Rouge Police Department,Baton Rouge-East Baton Rouge City-Parish,219086,22033,LA
CA0191R,CA0191R00,Santa Clarita,Santa Clarita City,218060,06037,CA
CA05002,CA0500200,Modesto Police Department,Modesto City,217778,06099,CA
CA03604,CA0360400,Fontana Police Department,Fontana City,214429,06071,CA
CA03332,CA0333200,Moreno Valley Police Dept,Moreno Valley City,213349,06065,CA
TX04305,TX0430500,Mckinney Police Department,Mckinney City,212716,48085,TX
FL01000,FL0100000,Clay County Sheriff's Office,Clay County,211628,12019,FL
UT01800,UT0180000,Unified Police Department Of Greater Salt Lake,Salt Lake County,209804,49035,UT
IA07703,IA0770300,Des Moines Police Department,Des Moines City,209658,19153,IA
NC02601,NC0260100,Fayetteville Police Department,Fayetteville City,209262,37051,NC
HI00100,HI0010000,Hawaii (County) Police Department,Hawaii County,209204,15001,HI
NY02701,NY0270100,Rochester Police Department,Rochester City,208452,36055,NY
CO02100,CO0210000,El Paso County Sheriff's Office,El Paso County,207095,08041,CO
NY05907,NY0590700,Yonkers Police Department,Yonkers City,206702,36119,NY
UT01803,UT0180300,Salt Lake City Police Department,Salt Lake City City,206692,49035,UT
SD04902,SD0490200,Sioux Falls Police Department,Sioux Falls City,206559,46099,SD
MA01460,MA0146000,Worcester Police Department,Worcester City,206145,25027,MA
TX05712,TX0571200,Grand Prairie Police Department,Grand Prairie City,205487,48113,TX
FL03703,FL0370300,Tallahassee Police Department,Tallahassee City,203661,12073,FL
FL02700,FL0270000,Hernando County Sheriff's Office,Hernando County,203179,12053,FL
AR06002,AR0600200,Little Rock Police Department,Little Rock City,202986,05119,AR
TX24600,TX2460000,Williamson County Sheriff's Office,Williamson County,202897,48491,TX
GA12100,GA1210000,Richmond County Sheriff's Office,Augusta-Richmond County Consolidated Government,202548,13245,GA
TX18801,TX1880100,Amarillo Police Department,Amarillo City,201684,48375,TX
DE303SP,DE303SP00,Sp: Sussex County,State Of Delaware,201483,10005,DE
AZ00721,AZ0072100,Peoria Police Department,Peoria City,200886,04013,AZ
GA10601,GA1060100,Columbus Police Department,Columbus Consolidated Government,200848,13215,GA
CA05604,CA0560400,Oxnard Police Department,Oxnard City,199508,06111,CA
NC09200,NC0920000,Wake County Sheriff's Office,Wake County,198748,37183,NC
TN04701,TN0470100,Knoxville Police Department,Knoxville City,198132,47093,TN
FL03500,FL0350000,Lake County Sheriff's Office,Lake County,197913,12069,FL
LA01700,LA0170000,East Baton Rouge Parish Sheriff's Office,Baton Rouge-East Baton Rouge City-Parish,197853,22033,LA
KS04606,KS0460600,Overland Park Police Department,Overland Park City,197728,20091,KS
WA00603,WA0060300,Vancouver Police Department,Vancouver City,196159,53011,WA
MI41436,MI4143600,Grand Rapids Police Department,Grand Rapids City,196019,26081,MI
AL00301,AL0030100,Montgomery Police Department,Montgomery City,195484,01101,AL
AL00102,AL0010200,Birmingham Police Department,Birmingham City,195224,01073,AL
CO03000,CO0300000,Jefferson County Sheriff's Office,Jefferson County,194994,08059,CO
MD01100,MD0110000,Frederick County Sheriff's Office,Frederick County,192457,24021,MD
CA03010,CA0301000,Huntington Beach Police Department,Huntington Beach City,192292,06059,CA
MI50150,MI5015000,Macomb County Sheriff's Office,Macomb County,191695,26099,MI
TX03101,TX0310100,Brownsville Police Department,Brownsville City,190590,48061,TX
NY05107,NY0510700,Huntington Pd,Huntington Town,190223,36103,NY
RI00409,RI0040900,Providence Police Department,Providence City,189590,44007,RI
GA02800,GA0280000,Cherokee County Sheriff's Office,Cherokee County,189457,13057,GA
FL00800,FL0080000,Charlotte County Sheriff's Office,Charlotte County,189450,12015,FL
AZ00729,AZ0072900,Tempe Police Department,Tempe City,188144,04013,AZ
OH07701,OH0770100,Akron Police Department,Akron City,187705,39153,OH
CA01925,CA0192500,Glendale Police Department,Glendale City,185923,06037,CA
TN03301,TN0330100,Chattanooga Police Department,Chattanooga City,185370,47065,TN
FL05700,FL0570000,Santa Rosa County Sheriff's Office,Santa Rosa County,184978,12113,FL
VA11600,VA1160000,Newport News Police Department,Newport News City,183600,51700,VA
FL00603,FL0060300,Fort Lauderdale Police Department,Fort Lauderdale City,183282,12011,FL
NY04500,NY0450000,Saratoga County Sheriff's Office,Saratoga County,183036,36091,NY
NC09203,NC0920300,Cary Police Department,Cary Town,182878,37183,NC
TN06301,TN0630100,Clarksville Police Department,Clarksville City,181916,47125,TN
NY03300,NY0330000,Onondaga County Sheriff's Office,Onondaga County,181277,36067,NY
CA03607,CA0360700,Ontario Police Department,Ontario City,180688,06071,CA
OR02402,OR0240200,Salem Police Department,Salem City,178276,41047,OR
OR02002,OR0200200,Eugene Police Department,Eugene City,178191,41039,OR
CA0340H,CA0340H00,Elk Grove Police Department,Elk Grove City,177976,06067,CA
NC05100,NC0510000,Johnston County Sheriff's Office,Johnston County,177923,37101,NC
WA01800,WA0180000,Kitsap County Sheriff's Office,Kitsap County,177830,53035,WA
WA03200,WA0320000,Spokane County Sheriff's Office,Spokane County,177511,53063,WA
CA03616,CA0361600,Rancho Cucamonga,Rancho Cucamonga City,177225,06071,CA
LA00901,LA0090100,Shreveport Police Department,Shreveport City,176906,22017,LA
CA04905,CA0490500,Santa Rosa Police Department,Santa Rosa City,176855,06097,CA
CA00700,CA0070000,Contra Costa County Sheriff's Office,Contra Costa County,173707,06013,CA
GA07505,GA0750500,Henry County Police Department,Henry County,172407,13151,GA
CA03710,CA0371000,Oceanside Police Department,Oceanside City,171348,06073,CA
IL04501,IL0450100,Aurora Police Dept,Aurora City,170648,17089,IL
NC09000,NC0900000,Union County Sheriff's Office,Union County,170556,37179,NC
MO03903,MO0390300,Springfield Police Dept,Springfield City,170521,29077,MO
FL00608,FL0060800,Pembroke Pines Police Department,Pembroke Pines City,169288,12011,FL
CO03503,CO0350300,Fort Collins Police Department,Fort Collins City,168886,08069,CO
NY05102,NY0510200,Babylon Town Pd,Babylon Town,168849,36103,NY
CA03009,CA0300900,Garden Grove Police Department,Garden Grove City,168015,06059,CA
CA01000,CA0100000,Fresno County Sheriff's Office,Fresno County,167673,06019,CA
CA01996,CA0199600,Lancaster,Lancaster City,167293,06037,CA
MO05000,MO0500000,Jefferson County Sheriff's Office,Jefferson County,167018,29099,MO
TN07501,TN0750100,Murfreesboro Police Department,Murfreesboro City,166916,47149,TN
FL00900,FL0090000,Citrus County Sheriff's Office,Citrus County,166833,12017,FL
VA08900,VA0890000,Stafford County Sheriff's Office,Stafford County,166413,51179,VA
CA03900,CA0390000,San Joaquin County Sheriff's Office,San Joaquin County,165185,06077,CA
SC00400,SC0040000,Anderson County Sheriff's Office,Anderson County,164574,45007,SC
HI00500,HI0050000,Maui (County) Police Department,Maui County,164253,15009,HI
GA11000,GA1100000,Paulding County Sheriff's Office,Paulding County,162740,13223,GA
CA00900,CA0090000,El Dorado County Sheriff's Office,El Dorado County,162436,06017,CA
TX01404,TX0140400,Killeen Police Department,Killeen City,161968,48027,TX
MD00900,MD0090000,Charles County Sheriff's Office,Charles County,161426,24017,MD
MI81181,MI8118100,Washtenaw County Sheriff's Office,Washtenaw County,161396,26161,MI
CA01950,CA0195000,Palmdale Pd,Palmdale City,160829,06037,CA
CA03315,CA0331500,Corona Police Department,Corona City,160590,06065,CA
TX06100,TX0610000,Denton County Sheriff's Office,Denton County,160587,48121,TX
CA02708,CA0270800,Salinas Police Department,Salinas City,159896,06053,CA
SC04600,SC0460000,York County Sheriff's Office,York County,159673,45091,SC
AZ00727,AZ0072700,Surprise Police Department,Surprise City,159346,04013,AZ
NC01100,NC0110000,Buncombe County Sheriff's Office,Buncombe County,158547,37021,NC
CA03105,CA0310500,Roseville Police Department,Roseville City,158084,06061,CA
GA01100,GA0110000,Bibb County Sheriff's Office,Bibb County,156087,13021,GA
CO03004,CO0300400,Lakewood Police Department,Lakewood City,156065,08059,CO
NJ01608,NJ0160800,Paterson Police,Paterson City,155991,34031,NJ
GA01101,GA0110100,Macon Police Department,Macon City,155786,13021,GA
TX06102,TX0610200,Denton Police Department,Denton City,155215,48121,TX
SC01001,SC0100100,Charleston Police Department,Charleston City,155159,45019,SC
MA00718,MA0071800,Springfield Police Department,Springfield City,154218,25013,MA
CA00106,CA0010600,Hayward Police Department,Hayward City,153914,06001,CA
VA09900,VA0990000,Alexandria Police Department,Alexandria City,153897,51510,VA
WA01702,WA0170200,Bellevue Police Department,Bellevue City,153291,53033,WA
FL00605,FL0060500,Hollywood Police Department,Hollywood City,152579,12011,FL
KS10502,KS1050200,Kansas City Police Department,Wyandotte County And Kansas City Unified Governmen,152115,20209,KS
CA04316,CA0431600,Sunnyvale Department Of Public Safety,Sunnyvale City,152031,06085,CA
IL02214,IL0221400,Naperville Police Dept,Naperville City,150197,17043,IL
VA08800,VA0880000,Spotsylvania County Sheriff's Office,Spotsylvania County,149957,51177,VA
IL09907,IL0990700,Joliet Police Dept,Joliet City,149940,17197,IL
CA03706,CA0370600,Escondido Police Department,Escondido City,149837,06073,CA
GA06900,GA0690000,Hall County Sheriff's Office,Hall County,148922,13139,GA
CT00015,CT0001500,Bridgeport Police Department,Bridgeport City,148483,09001,CT
CA00100,CA0010000,Alameda County Sheriff's Office,Alameda County,148466,06001,CA
TX05718,TX0571800,Mesquite Police Department,Mesquite City,147926,48113,TX
KS04605,KS0460500,Olathe Police Department,Olathe City,147680,20091,KS
FL04600,FL0460000,Okaloosa County Sheriff's Office,Okaloosa County,146915,12091,FL
AL00100,AL0010000,Jefferson County Sheriff's Office,Jefferson County,146904,01073,AL
FL00101,FL0010100,Gainesville Police Department,Gainesville City,146744,12001,FL
IL10104,IL1010400,Rockford Police Dept,Rockford City,145873,17201,IL
TX10115,TX1011500,Pasadena Police Department,Pasadena City,145850,48201,TX
TX15512,TX1551200,Waco Police Department,Waco City,145741,48309,TX
TX10808,TX1080800,Mcallen Police Department,Mcallen City,145684,48215,TX
WA03400,WA0340000,Thurston County Sheriff's Office,Thurston County,145385,53067,WA
CA05407,CA0540700,Visalia Department Of Public Safety,Visalia City,145031,06107,CA
CA03000,CA0300000,Orange Cnty Sheriffs Dept,Orange County,143967,06059,CA
CO00104,CO0010400,Thornton Police Dept,Thornton City,143838,08001,CO
GA03600,GA0360000,Columbia County Sheriff's Office,Columbia County,143661,13073,GA
CA01955,CA0195500,Pomona Police Department,Pomona City,143578,06037,CA
NY03301,NY0330100,Syracuse Police Department,Syracuse City,143295,36067,NY
SC00800,SC0080000,Berkeley County Sheriff's Office,Berkeley County,142756,45015,SC
MS02501,MS0250100,Jackson Police Department,Jackson City,142618,28049,MS
NJ01514,NJ0151400,Lakewood Police,Lakewood Township,142510,34029,NJ
FL04300,FL0430000,Martin County Sheriff's Office,Martin County,142330,12085,FL
SC04001,SC0400100,Columbia Police Department,Columbia City,141497,45079,SC
CT00093,CT0009300,New Haven Police Department,New Haven City,141481,09009,CT
CA03008,CA0300800,Fullerton Police Department,Fullerton City,139131,06059,CA
FL00622,FL0062200,Miramar Police Department,Miramar City,138613,12011,FL
CA03612,CA0361200,Victorville Pd,Victorville City,138534,06071,CA
VA11100,VA1110000,Hampton Police Department,Hampton City,138533,51650,VA
ID00100,ID0010000,Ada County Sheriff's Office,Ada County,138487,16001,ID
CA01972,CA0197200,Torrance Police Department,Torrance City,138472,06037,CA
CA04200,CA0420000,Santa Barbara County Sheriff's Office,Santa Barbara County,137870,06083,CA
CT00135,CT0013500,Stamford Police Department,Stamford City,136512,09001,CT
IL04900,IL0490000,Lake County Sheriff's Office,Lake County,136273,17097,IL
TN07900,TN0790000,Shelby County Sheriff's Office,Shelby County,136188,47157,TN
MI50806,MI5080600,Warren Police Department,Warren City,136121,26099,MI
NY01400,NY0140000,Erie County Sheriff's Office,Erie County,135782,36029,NY
IA05701,IA0570100,Cedar Rapids Police Department,Cedar Rapids City,135777,19113,IA
CA05400,CA0540000,Tulare County Sheriff's Office,Tulare County,135511,06107,CA
TX16501,TX1650100,Midland Police Department,Midland City,135253,48329,TX
ID00103,ID0010300,Meridian Police Department,Meridian City,135239,16001,ID
OH05702,OH0570200,Dayton Police Department,Dayton City,135181,39113,OH
UT01825,UT0182500,West Valley City Police Department,West Valley City City,135023,49035,UT
CA03015,CA0301500,Orange Police Department,Orange City,134582,06059,CA
ND00902,ND0090200,Fargo Police Department,Fargo City,134268,38017,ND
TX05704,TX0570400,Carrollton Police Department,Carrollton City,134261,48113,TX
FL00512,FL0051200,Palm Bay Police Department,Palm Bay City,134040,12009,FL
LA03200,LA0320000,Livingston Parish Sheriff's Office,Livingston Parish,134038,22063,LA
TX06106,TX0610600,Lewisville Police Department,Lewisville City,133694,48121,TX
NJ02004,NJ0200400,Elizabeth Police,Elizabeth City,133578,34039,NJ
FL06000,FL0600000,Sumter County Sheriff's Office,Sumter County,133358,12119,FL
WA01707,WA0170700,Kent Police Department,Kent City,133312,53033,WA
FL00628,FL0062800,Coral Springs Police Department,Coral Springs City,132977,12011,FL
SC00700,SC0070000,Beaufort County Sheriff's Office,Beaufort County,132948,45013,SC
TX02000,TX0200000,Brazoria County Sheriff's Office,Brazoria County,132229,48039,TX
CA01953,CA0195300,Pasadena Police Department,Pasadena City,132210,06037,CA
AL04700,AL0470000,Madison County Sheriff's Office,Madison County,132150,01089,AL
MI50765,MI5076500,Sterling Heights Police Department,Sterling Heights City,131801,26099,MI
CA04900,CA0490000,Sonoma County Sheriff's Office,Sonoma County,131522,06097,CA
PA065SP,PA065SP00,Sp: Westmoreland County,State Of Pennsylvania,130772,42129,PA
TX10500,TX1050000,Hays County Sheriff's Office,Hays County,130433,48209,TX
